d1,d2,type
772,835,25
201,481,9
162,59,25
162,110,5
952,412,8
525,1152,25
870,1277,8
1048,713,53
1353,26,25
378,807,14
1122,480,34
888,1174,12
1063,477,25
1487,1416,9
594,624,40
1348,355,8
1379,1123,9
855,1470,9
1063,1088,25
155,341,25
196,754,0
885,1174,25
94,1050,9
612,713,39
599,888,6
1345,455,9
1037,1426,62
1155,717,9
549,838,66
268,829,53
214,979,25
654,181,5
1165,105,5
954,309,66
1305,29,25
527,1240,25
401,473,66
244,795,25
867,560,6
593,906,25
1461,484,5
42,352,25
819,986,9
648,455,9
37,826,36
182,1235,66
52,933,25
204,906,66
837,863,25
930,988,9
280,1106,14
52,288,25
36,829,25
1231,60,25
221,659,25
911,657,25
1106,1075,8
30,1359,25
156,1433,5
701,761,8
1492,725,25
977,421,25
763,762,5
443,236,77
921,122,25
556,835,25
1359,1254,9
1370,1139,25
867,1433,5
455,1391,9
700,59,25
49,814,46
473,1502,66
680,1386,25
718,1391,9
694,896,75
321,44,5
315,60,75
319,1258,9
56,417,25
280,750,25
1446,760,66
609,158,25
666,1321,9
381,814,66
268,144,75
1163,825,5
800,409,5
1295,242,34
666,47,5
242,922,25
241,525,25
1095,1256,3
892,659,25
605,221,25
1452,657,9
369,81,6
236,1414,25
659,1392,5
568,1072,5
354,148,53
1009,1552,12
69,560,6
574,812,75
1018,461,0
636,922,25
549,861,25
1441,418,66
549,500,61
248,236,77
64,670,25
201,964,5
737,575,9
553,37,34
126,1118,9
201,1380,5
5,1210,9
397,1112,45
410,536,77
734,254,25
1350,439,8
896,208,5
828,989,6
1189,825,5
315,137,5
868,1444,25
1188,286,9
90,1323,25
851,157,5
690,95,25
522,379,25
239,892,25
456,89,75
463,99,5
665,1433,5
272,46,5
477,99,9
1288,426,70
459,82,5
272,443,25
840,703,51
623,799,25
86,683,9
312,891,14
1360,641,37
1017,912,25
47,825,5
171,1178,45
1027,1212,75
1433,636,9
653,1371,25
1137,374,5
804,896,9
37,57,51
1117,176,5
1305,706,25
658,227,8
1464,1164,5
649,950,25
376,1296,25
624,1278,39
339,222,8
772,29,25
201,597,9
1443,158,25
378,1302,5
673,914,6
1268,46,5
38,503,25
832,753,63
920,852,63
792,84,25
731,1222,5
909,988,8
1013,635,64
1240,235,63
963,717,9
913,710,25
155,960,25
1487,69,5
1398,144,75
945,694,25
1231,122,9
195,716,25
250,280,12
134,99,5
706,294,25
153,523,25
1324,81,8
553,1545,25
904,1223,9
271,1246,5
94,587,9
885,791,25
512,74,25
354,486,53
1440,212,14
70,256,66
625,544,64
388,952,66
456,24,5
80,905,25
245,670,25
59,922,25
284,157,9
813,1071,12
1006,760,66
52,801,25
819,421,9
296,341,53
1465,953,12
1021,127,9
1302,888,8
410,1139,25
216,1196,50
46,1092,12
431,74,13
36,705,25
1003,700,25
1295,1072,9
1198,274,66
1240,1013,80
195,1208,9
950,529,75
706,713,25
1455,658,14
838,1331,44
1335,1256,3
172,819,5
553,1224,45
170,27,5
549,195,25
1237,1440,25
744,989,8
346,1380,5
769,879,75
467,183,12
1397,1238,12
106,904,9
506,289,5
107,1275,12
1386,527,25
1319,1380,9
275,829,25
1513,1304,9
753,450,12
464,966,9
502,941,5
464,444,5
311,1136,5
382,1257,3
1311,185,9
294,1024,25
798,412,8
274,926,25
68,1028,57
604,1304,9
794,1065,12
621,910,46
583,1458,9
31,968,5
1258,360,6
473,910,66
780,639,25
562,974,25
968,1129,75
721,829,25
404,89,5
1041,623,20
952,167,5
278,906,34
346,24,5
757,484,5
1007,306,25
680,306,25
933,936,25
363,53,5
124,271,25
1006,136,25
916,1352,25
734,892,25
1217,44,9
162,824,25
752,105,5
1270,81,6
861,1047,25
1350,315,8
397,59,37
894,378,25
915,1127,25
1233,598,25
179,127,5
694,762,5
585,395,46
1051,1208,9
158,443,25
99,896,9
204,388,66
502,148,9
241,301,66
577,634,19
1510,991,25
1062,412,25
339,917,8
683,299,71
162,989,6
1186,635,25
339,259,8
253,1470,9
1186,942,25
1057,177,25
609,948,66
319,361,72
1282,715,45
1078,310,45
454,845,5
847,110,25
304,366,25
110,472,25
1038,1302,5
852,641,12
863,922,25
560,1144,66
1136,195,25
1031,71,5
1031,155,5
802,1068,9
436,1157,25
34,560,6
734,536,77
612,181,5
281,766,9
823,734,25
383,1444,5
179,826,41
950,948,25
574,1208,9
614,795,25
34,444,5
1337,480,60
1215,802,25
770,837,25
391,1164,5
549,1057,66
55,295,25
1446,376,66
1228,165,9
603,1233,25
195,881,5
1231,1254,9
390,906,61
389,1127,25
1273,281,25
706,382,25
746,159,25
1109,71,5
268,567,53
133,752,5
1345,1321,5
216,1155,16
1054,770,25
512,1461,5
474,798,5
706,668,14
1243,289,12
1167,1017,25
321,69,5
1038,294,5
321,698,25
651,511,25
1554,1035,45
860,952,25
631,938,25
317,709,25
1027,1461,5
654,337,75
1499,1510,25
120,520,25
1513,1222,5
1290,71,25
444,1072,5
1162,840,5
571,177,78
979,1176,25
219,653,25
990,1024,12
921,721,25
388,499,25
1014,162,25
659,1157,25
1282,401,34
1271,374,9
580,344,25
752,654,75
579,876,25
1031,59,64
580,648,25
203,1322,9
166,1246,5
1237,89,5
336,824,75
880,364,45
580,403,6
888,37,66
528,1380,5
1202,416,46
472,1479,66
526,827,5
437,670,53
680,241,5
529,969,9
662,421,12
1194,1227,5
1240,888,6
160,926,25
910,81,5
783,289,73
1379,265,9
891,409,5
253,243,25
662,762,9
253,1222,5
137,495,12
1444,1501,12
1536,484,5
1152,879,75
900,1131,50
426,423,9
86,409,9
599,374,5
938,1401,25
439,190,25
636,710,25
933,1207,25
400,829,25
1026,639,25
38,1164,9
771,1035,45
1440,819,25
776,1208,9
1422,127,9
754,239,53
695,286,25
755,1072,9
804,193,16
966,1392,5
966,1322,9
684,248,39
1089,931,25
955,737,66
855,1012,41
152,294,5
1041,850,25
902,1048,25
133,176,5
1303,1282,12
1057,60,25
531,1377,9
670,1332,8
167,1064,9
290,511,25
1348,1216,5
1183,27,25
269,455,9
324,376,25
673,861,25
456,286,5
268,120,53
266,1216,5
1390,1007,53
284,265,5
1117,1470,9
452,722,12
627,344,25
75,1233,25
298,1067,53
667,610,25
1021,216,9
290,1160,75
210,100,12
627,1440,25
626,105,5
227,837,25
1188,979,41
959,132,12
298,725,53
68,762,9
37,914,8
91,360,6
960,1384,9
603,829,25
705,721,25
387,97,9
389,721,25
1225,631,9
1324,874,53
803,1428,8
110,1416,9
956,193,25
148,1139,25
627,169,34
903,1072,5
202,911,25
78,310,45
301,737,25
360,921,25
938,94,6
1471,861,25
492,941,75
104,27,5
119,1208,9
296,134,53
492,1160,75
484,597,9
1289,965,12
275,737,25
30,1131,34
92,1380,5
1353,837,25
1147,201,53
1350,1321,9
913,1462,25
1172,69,5
1012,809,39
1027,879,75
770,1203,66
1051,147,6
605,927,25
1188,44,9
272,1222,5
253,749,5
604,762,5
288,947,25
956,81,6
1539,32,25
607,1120,9
1014,52,25
815,844,12
1282,1105,25
1014,1207,25
486,1131,51
360,989,8
621,1470,9
265,1536,5
850,94,8
232,695,25
38,241,75
368,83,25
578,1438,25
633,437,25
795,60,25
59,401,25
456,937,38
544,841,25
390,502,78
804,772,16
1525,360,6
754,796,53
578,886,14
312,417,25
1031,1257,3
177,772,53
690,746,25
117,38,5
1379,481,9
177,882,25
1545,953,25
549,473,66
868,110,25
869,845,5
576,1030,44
1110,352,25
1501,1486,0
905,1380,5
112,755,25
905,1444,5
852,819,5
889,463,45
1155,38,9
549,203,66
148,1159,77
1153,1470,9
424,800,25
1127,1117,5
290,176,5
306,805,25
286,444,5
126,328,64
33,328,66
1324,52,53
439,819,5
933,1422,25
379,582,25
585,1479,46
665,63,75
42,44,5
259,1164,5
216,922,51
568,301,51
1006,1046,25
649,657,25
397,525,5
571,397,5
34,120,5
626,1004,66
147,708,66
787,38,5
339,969,9
62,574,66
1419,147,12
1293,1167,12
232,713,53
172,46,5
1400,382,25
1095,406,5
105,941,75
1066,397,75
380,1302,25
172,81,6
1374,219,25
400,772,53
1180,1136,5
1038,105,5
1320,941,9
1366,1380,5
202,201,53
1009,508,66
415,583,25
837,47,5
627,1154,5
1003,153,25
1055,309,43
216,345,16
279,614,25
1146,1154,5
222,60,5
222,760,5
50,329,9
311,1304,9
33,409,5
1292,889,75
603,1377,9
389,1057,25
624,798,5
1126,89,5
1091,105,63
31,784,25
406,409,5
1186,651,53
344,560,8
564,417,62
574,631,75
26,848,9
921,1364,25
1225,1377,9
29,706,25
182,916,25
52,674,66
1283,1536,5
1256,15,9
594,536,77
575,709,25
462,807,20
202,795,25
604,401,51
970,232,25
572,52,66
332,465,20
698,1186,25
397,1271,25
1386,579,25
945,1536,5
1367,5,9
383,402,8
544,658,9
120,105,5
1139,399,80
751,803,25
419,1057,50
1049,1136,5
303,794,63
690,1154,5
1192,99,9
33,357,61
218,709,25
912,271,25
222,1417,5
256,308,9
868,783,25
456,337,75
1539,156,25
308,1246,5
660,5,5
1326,690,25
549,321,78
426,227,9
579,477,25
599,176,5
789,989,6
60,308,5
380,227,25
1258,0,45
1450,372,12
383,679,5
450,256,64
794,44,9
757,1136,5
76,1484,45
250,580,12
950,1254,9
1219,606,9
1404,1072,9
755,1222,5
1235,1016,25
1136,81,8
520,279,25
1012,806,43
963,798,9
729,756,25
690,849,5
960,622,25
314,961,9
1062,656,25
911,845,5
210,760,25
766,1484,12
151,105,5
660,1416,9
1370,1349,9
700,988,9
306,443,25
1361,1106,14
1328,336,75
1137,968,5
670,46,5
674,1470,9
594,725,25
325,989,8
303,132,12
243,1461,5
56,1135,25
28,814,66
75,1157,25
278,1400,25
37,328,25
945,221,25
36,888,25
259,1005,60
1198,503,84
412,1064,9
844,169,51
91,786,25
668,237,8
953,37,51
410,1474,40
1225,94,8
945,1414,25
780,989,6
32,181,25
1231,1422,25
254,1422,25
289,691,45
110,1501,12
1006,106,66
351,346,5
706,627,25
153,384,25
376,655,66
148,1471,25
302,254,25
120,888,6
56,388,34
805,236,77
528,825,5
202,464,25
80,1386,25
880,766,9
1050,840,5
713,1400,25
296,75,53
388,454,63
526,579,25
701,1187,8
468,942,25
1048,34,5
509,87,20
867,397,75
1545,475,64
462,916,25
892,681,25
1333,409,5
1018,684,14
800,1137,5
1470,1384,9
177,1035,45
869,1144,66
1450,776,12
662,530,9
381,473,66
1079,309,66
603,597,9
1332,914,8
623,89,5
86,454,9
1258,264,14
960,1536,5
621,1227,5
379,1332,8
580,421,25
29,910,25
553,475,37
268,436,53
971,633,5
405,100,8
544,37,25
573,1046,25
360,1345,5
441,1030,44
436,938,25
1052,796,25
485,716,25
673,624,34
1061,949,12
42,679,12
1239,1322,75
567,950,25
1363,861,25
913,105,5
89,1458,6
529,50,75
1192,949,9
891,86,5
1062,89,5
578,1057,34
134,811,25
499,1462,25
852,157,5
885,1417,5
125,438,66
331,1148,66
804,38,16
517,1332,8
1444,776,8
580,463,45
395,1203,66
657,110,5
969,914,8
1390,511,53
649,966,9
355,948,66
1360,1366,34
197,657,53
950,813,25
802,1154,5
968,309,25
576,174,25
574,717,5
648,881,9
57,399,25
1005,586,25
1397,529,75
609,246,53
52,410,25
1419,762,9
965,798,9
1439,686,25
341,1416,5
1014,472,66
72,520,25
927,379,25
177,306,25
1400,366,34
597,1395,75
339,1102,9
780,1131,34
1084,235,25
1273,1028,57
703,1314,51
621,815,46
156,1416,9
176,1208,9
188,923,5
534,798,9
369,1027,53
688,961,9
1049,1240,78
571,301,51
133,882,13
148,518,5
1100,1321,9
1390,869,53
926,1443,66
652,509,0
1454,525,11
842,383,12
80,827,25
437,272,53
188,360,6
284,136,53
509,1440,25
716,1366,25
284,81,9
1337,105,5
845,1302,5
508,656,25
294,920,71
509,850,25
263,122,5
819,331,9
942,926,51
91,1015,25
675,53,75
484,1223,9
1119,475,64
801,752,5
296,486,53
850,991,64
621,889,75
1054,640,39
1054,796,39
243,331,34
90,739,25
270,504,76
680,33,40
1144,294,5
71,117,9
179,1479,66
785,455,9
1231,1317,9
89,231,25
1023,85,16
216,509,9
699,154,8
1282,37,34
1225,562,9
1030,1164,5
555,715,45
1023,1276,16
617,1444,25
479,1547,25
746,37,34
1414,636,25
1299,303,63
202,1422,25
706,1552,25
170,679,5
1241,1461,5
1222,762,5
1245,703,50
110,473,66
932,1110,9
594,1050,25
168,970,75
106,824,9
881,1072,9
321,969,9
1479,1440,25
378,639,25
508,1345,5
1088,195,5
197,605,53
124,265,5
162,567,25
1004,733,69
734,389,25
713,670,53
761,1078,11
794,1422,12
464,950,25
913,986,25
119,1392,5
1513,617,5
472,1213,66
913,227,25
1185,574,12
290,516,75
1379,406,9
1174,1246,5
1371,971,63
136,869,25
835,1352,25
913,880,25
177,887,53
861,1428,0
95,969,9
1186,259,5
660,49,5
268,1072,75
1170,657,5
1539,1147,25
282,952,66
584,94,25
1153,459,5
905,1171,25
231,275,25
832,639,25
1526,870,25
166,533,82
368,31,25
1282,278,25
302,1046,25
1321,1400,25
1057,944,73
1167,379,25
598,819,5
1525,60,5
382,722,25
1238,640,12
598,46,5
813,1366,66
205,1049,25
400,609,25
1167,807,14
964,46,75
405,981,8
1240,1384,9
281,310,45
789,110,5
1265,208,9
415,248,25
158,556,25
1290,639,25
769,752,5
1459,1428,0
337,1384,9
376,419,25
1359,888,8
567,94,25
1072,658,75
1395,989,6
499,30,25
1433,508,34
1046,737,25
1105,870,71
868,176,25
952,1235,66
1378,421,9
908,617,5
1046,1014,25
688,71,5
815,910,66
556,635,25
1105,1260,25
867,1131,25
512,289,5
671,475,25
454,286,5
437,1177,53
280,630,25
1506,71,5
674,110,5
1179,69,5
76,382,25
968,1162,8
881,352,25
177,450,34
610,654,25
397,31,25
667,1208,9
609,306,25
1438,211,34
1227,69,10
945,134,25
1243,602,12
275,656,25
241,230,25
204,545,47
815,921,25
770,1322,9
785,105,5
979,1013,25
1002,216,49
960,315,25
193,275,5
763,74,13
1373,409,25
724,1154,5
1014,385,25
608,622,12
35,403,6
256,18,58
33,605,43
263,355,8
331,837,25
302,431,25
1167,1095,25
724,896,75
127,1223,9
105,309,25
1256,1291,0
1471,659,25
755,1159,77
83,1459,3
381,980,41
898,89,9
1049,86,5
1371,1275,12
502,477,34
690,922,34
1049,275,5
857,157,5
431,772,53
908,631,75
1314,717,5
675,908,75
871,172,5
462,837,25
1160,1392,5
1329,1254,9
298,656,53
885,340,66
444,117,5
607,856,25
1023,1164,5
253,74,13
780,360,6
459,990,66
1333,355,8
30,803,25
133,887,53
290,947,25
1390,680,53
902,772,53
585,717,9
351,1119,25
468,1459,3
1186,947,53
1460,328,66
29,760,25
1345,1029,80
1526,110,5
119,883,31
579,105,9
703,536,66
757,86,5
1118,1178,33
971,1237,5
381,1246,5
1433,609,6
363,871,5
936,1401,25
526,892,25
181,1164,5
931,89,5
342,109,5
5,872,5
772,887,53
437,52,53
359,580,9
203,753,63
1063,147,6
525,1398,25
772,366,25
730,762,5
1233,177,25
136,755,25
891,24,5
134,1416,9
1067,796,25
52,1054,40
620,715,45
955,1433,78
499,1352,25
1079,1246,9
134,721,25
259,883,75
308,789,25
1185,106,5
227,395,66
288,44,5
1014,1089,25
289,624,34
288,527,25
658,99,9
549,169,66
86,317,9
1167,798,5
82,484,5
824,1433,9
792,239,6
347,463,33
796,1127,25
770,360,6
757,837,25
1250,389,6
1419,914,8
1394,133,25
963,147,6
1006,1171,25
695,915,25
1275,484,5
963,105,5
1419,484,5
966,99,5
1250,798,5
869,109,77
977,1349,9
410,887,53
1229,961,9
700,1311,8
728,294,5
174,162,25
923,265,5
970,1160,31
282,1194,31
171,242,34
869,160,66
927,1050,25
156,416,34
115,525,5
1196,808,8
744,952,25
243,1131,34
1377,1027,5
920,107,45
324,385,25
1489,1486,0
1110,1017,12
227,81,6
1340,1304,9
544,862,66
568,1453,55
679,1326,47
1148,388,50
509,750,25
780,169,34
455,1458,8
819,339,9
303,841,12
450,682,25
1439,378,25
876,272,25
842,168,12
91,736,25
1145,38,5
382,59,64
1129,167,5
430,1144,25
319,699,20
888,328,73
32,1389,25
103,1246,31
706,653,37
124,165,63
438,574,66
530,560,6
83,856,25
954,812,9
906,1371,25
26,579,9
351,949,5
1390,610,53
27,697,25
388,1397,41
426,107,45
617,760,25
578,1119,25
202,1050,25
1258,803,25
936,308,5
368,522,25
202,521,25
472,509,25
201,1138,9
561,212,14
769,1331,44
180,1072,5
1088,53,5
898,658,5
1003,216,49
1159,703,25
1333,852,5
317,1539,25
1333,1208,9
136,243,25
1150,60,75
1295,484,9
1258,1131,34
1131,1029,36
906,814,66
49,1223,9
1062,84,25
1271,1332,8
620,439,25
475,922,25
1373,952,25
991,780,12
1413,754,0
622,282,5
1345,52,25
219,926,25
83,38,5
566,884,66
586,1366,34
793,377,8
806,950,25
598,510,5
580,965,25
1117,105,5
575,162,25
673,792,25
339,888,6
594,282,9
751,1488,45
24,406,5
935,1102,9
1398,60,75
328,472,25
376,922,25
42,309,25
431,1363,25
930,409,5
1440,117,45
91,602,61
310,494,12
753,1275,12
112,190,12
731,1359,25
68,1215,57
314,792,25
152,1304,9
152,5,5
1489,216,49
112,659,25
887,798,5
873,1131,66
112,369,25
852,1072,5
290,1207,48
307,105,5
155,403,6
804,1153,16
307,717,5
635,737,25
266,1417,5
388,1388,66
266,923,5
1388,1146,25
1313,1458,8
1465,436,25
265,69,5
1506,1470,9
1340,1072,5
419,915,25
1194,755,25
1328,512,75
1253,511,25
294,630,25
341,691,45
227,69,9
627,49,5
783,239,6
415,824,25
196,310,33
1019,210,34
769,271,25
525,670,53
570,436,25
1026,916,34
391,5,5
731,1536,5
625,979,25
76,165,63
53,403,6
861,707,34
605,1386,25
443,650,53
201,898,75
1413,361,72
711,1433,5
737,1489,14
1144,944,73
1123,989,8
304,336,49
369,1349,9
513,1322,9
336,889,75
167,308,5
1484,1264,9
901,1403,25
683,439,25
1006,632,66
549,667,25
1258,1017,25
1374,837,25
80,1416,25
508,614,25
1089,856,75
508,871,5
1337,1377,9
508,412,25
737,1361,12
1386,352,25
874,961,9
317,431,25
197,230,53
280,106,34
1079,203,66
278,468,25
90,812,25
485,980,41
1295,1031,25
665,155,5
55,1049,25
462,409,25
874,221,25
1023,658,9
275,1322,9
1122,751,20
290,856,75
1336,776,6
443,805,25
312,121,25
568,230,25
603,1389,25
679,961,9
624,86,5
89,597,9
713,366,34
1186,389,53
1198,566,46
463,1164,8
271,670,53
1198,409,46
441,515,25
31,1136,5
47,99,5
1030,525,5
579,881,9
938,482,25
401,122,5
954,1246,9
579,124,9
511,1416,25
794,1304,9
437,819,25
970,1085,25
446,1332,8
525,309,25
734,477,25
885,906,66
948,1222,5
204,314,75
464,147,6
914,530,25
1367,709,9
364,222,12
162,328,25
125,1348,66
1526,1455,3
1192,1215,9
1450,270,12
855,801,5
1296,83,25
655,397,12
1066,436,25
525,454,63
176,87,45
906,1196,50
395,1366,66
905,1233,25
271,290,5
1041,95,25
1444,396,6
508,658,75
830,122,5
1536,1433,5
1536,1391,9
1168,86,5
426,798,9
1094,7,68
572,1189,47
654,176,5
674,484,5
322,789,25
599,871,5
1124,968,9
993,766,9
199,301,50
1031,840,5
474,1073,8
1347,81,6
750,147,8
944,989,12
906,1029,36
44,1246,75
1270,1380,5
381,716,25
610,749,5
935,1317,5
1304,989,8
1268,104,25
792,5,5
667,1128,25
731,746,25
1171,624,40
966,1391,9
792,510,5
242,223,41
359,1073,9
52,32,25
752,1416,9
945,374,5
296,926,46
409,926,25
768,289,5
1008,458,8
745,424,9
567,805,25
156,801,5
195,892,25
328,1296,12
566,275,25
909,1208,9
711,752,5
1378,658,9
1207,725,25
522,480,34
724,86,5
133,455,9
1345,1035,25
461,169,66
1501,15,25
904,294,5
746,249,14
394,388,34
166,245,25
819,403,6
670,658,5
1319,5,5
351,1057,34
1319,342,5
120,1380,5
822,406,5
75,1168,9
787,1458,8
91,1123,25
485,1444,66
822,748,9
607,914,8
933,1159,77
485,28,25
55,308,25
241,44,5
243,227,34
632,1148,66
874,477,25
376,508,66
222,308,5
609,1088,25
1139,755,80
1295,1136,5
850,574,64
271,1536,5
287,492,66
1035,988,5
48,784,9
387,729,25
621,1536,5
84,341,25
798,597,9
38,870,75
528,52,25
287,236,77
1258,766,9
875,1282,12
109,1392,5
880,849,9
355,703,66
436,650,53
755,670,53
180,1470,9
874,760,25
902,824,75
1048,84,25
935,304,8
1049,1088,25
366,57,51
874,27,5
1174,597,9
913,1337,25
155,916,50
216,264,16
1018,920,0
462,37,25
1189,827,5
827,898,75
851,155,5
1328,122,5
1367,1100,8
1174,658,44
903,361,72
219,635,25
87,1095,25
308,1136,5
422,81,6
952,878,12
1315,941,75
1536,827,5
656,89,5
1532,181,5
475,480,25
256,394,12
1119,784,25
1183,861,25
366,441,25
956,428,25
945,1160,75
439,1120,9
935,1132,10
422,46,5
579,155,9
402,964,5
599,46,5
938,1317,5
719,1321,8
933,221,25
796,1461,5
180,360,6
379,1147,25
948,1360,12
1212,1246,75
578,342,5
658,385,12
379,406,5
971,832,5
454,468,12
931,286,25
1240,1422,25
772,819,5
197,523,53
776,1391,9
1021,1377,9
1217,559,9
492,169,50
942,658,75
339,840,9
1012,363,39
1210,1230,12
1055,669,39
867,360,6
517,1095,25
499,873,25
711,69,9
708,686,25
124,268,75
568,772,53
553,983,34
133,1237,5
889,49,5
588,1254,8
1392,5,9
630,1380,9
1460,1443,66
288,567,25
1345,679,5
1323,1194,12
832,802,25
1323,1292,12
268,695,53
474,110,5
700,641,25
888,19,8
657,1164,5
900,956,25
302,680,25
922,959,63
1407,776,8
366,1250,66
824,71,9
526,1141,25
824,246,53
52,1127,25
1008,412,5
651,737,25
303,701,12
597,529,75
842,1065,12
651,431,25
927,935,12
912,216,49
813,1414,25
1009,804,51
927,1470,9
755,783,66
580,786,71
227,360,8
942,286,25
960,38,5
352,379,25
1492,598,25
355,1433,9
705,902,25
286,990,65
960,1096,25
636,1131,66
683,751,20
976,340,25
188,122,5
1324,610,53
132,1380,5
721,110,5
344,923,9
1305,1260,25
1054,1027,5
736,231,25
906,1458,8
1255,463,45
506,49,5
124,1322,9
614,950,25
249,953,76
1313,208,5
286,314,75
37,632,25
446,1072,9
1192,389,9
639,888,6
91,680,25
891,1217,5
718,528,12
828,1332,8
456,1147,75
1004,1293,66
437,912,72
463,1222,5
1006,59,66
1488,752,63
272,1072,5
253,176,5
606,110,5
1004,1005,66
659,941,5
796,1147,75
583,881,5
1017,299,25
1289,1404,12
956,71,5
169,916,25
366,679,5
1241,294,5
578,1296,25
202,811,25
1258,95,25
346,342,5
346,122,5
202,265,5
202,287,25
779,499,8
966,1536,5
880,1304,9
110,89,75
387,653,64
632,1477,20
1089,38,5
709,1001,25
12,1273,12
685,50,75
1089,772,53
168,89,75
12,934,12
694,201,53
1379,657,9
1502,94,6
909,105,5
431,109,77
1451,1273,12
1172,968,5
481,38,5
95,953,25
256,912,9
888,1154,5
149,361,72
341,1249,34
852,760,5
271,110,5
540,1326,47
654,938,25
314,989,6
683,1135,25
806,947,25
768,1147,31
246,430,9
246,28,5
935,1332,8
806,275,25
1433,913,34
686,249,14
416,169,50
1305,294,25
290,888,6
42,913,25
331,340,66
42,105,5
383,1328,5
204,856,75
289,612,80
627,780,25
439,560,6
948,71,5
396,1035,33
168,961,0
1231,282,5
351,203,34
18,1392,5
1344,249,8
355,752,9
124,631,75
1055,1264,8
309,1340,25
498,892,25
168,933,25
905,395,25
1389,941,9
1391,1384,9
302,1141,25
1347,1185,9
586,401,34
938,201,53
1008,723,12
895,1377,9
211,574,25
544,737,66
160,626,66
572,310,45
1006,1088,25
1194,829,25
177,155,34
628,1129,75
1340,650,53
282,1414,25
412,560,6
467,524,25
836,1208,9
259,122,5
510,94,6
667,571,5
1313,1102,9
52,271,25
1292,290,75
887,1030,44
465,441,72
275,511,25
1371,842,63
597,290,75
1210,694,8
620,37,34
35,275,5
728,1013,25
762,172,8
1492,721,25
785,518,5
783,1349,9
1017,1072,5
921,1253,25
1023,776,6
1260,853,25
1446,536,66
1438,699,14
1014,837,25
159,1332,8
87,1016,12
167,631,25
203,402,5
166,112,25
400,1363,25
1360,920,71
1479,1352,25
680,122,5
293,81,6
874,1062,25
1201,301,50
1537,578,26
521,89,5
674,710,66
464,1233,25
216,427,16
1537,1260,26
502,525,25
855,314,5
1162,969,5
910,1361,25
1171,275,5
648,544,64
713,249,14
603,796,25
1452,1339,9
219,286,9
1186,721,53
913,89,12
235,412,5
1041,107,45
424,363,25
1153,801,5
1532,127,5
409,1250,66
654,836,25
599,1304,9
26,1163,9
887,726,44
384,1384,9
5,422,20
202,681,25
1006,915,25
399,450,25
168,962,40
796,969,9
933,949,5
988,1208,9
437,573,53
1164,1458,8
201,235,5
181,1072,5
162,609,25
57,791,25
734,244,25
1021,1392,9
213,784,12
610,527,25
1547,968,5
751,766,9
56,1167,25
609,549,66
201,762,5
360,631,25
1048,1063,25
913,331,25
1545,69,9
1404,295,25
284,57,80
1260,870,71
328,553,12
296,1126,46
745,1470,9
1171,511,25
708,837,25
167,516,75
155,148,25
151,342,5
133,1321,5
927,403,6
1344,716,9
1347,294,5
813,210,66
746,886,14
806,1492,25
1167,27,5
426,1391,9
1459,961,0
670,1377,9
1506,406,5
351,703,34
705,888,8
268,1233,53
1050,1052,25
171,169,34
259,708,60
455,989,6
124,612,80
1050,1362,25
456,1314,51
24,1392,5
567,1147,25
72,567,25
392,105,5
179,800,66
401,1023,51
530,1417,11
971,63,75
964,27,5
1470,81,8
299,1337,63
153,511,25
351,459,5
352,805,25
1485,406,5
583,341,25
763,374,5
351,439,25
30,497,25
1324,876,53
1390,74,53
763,1345,25
553,1433,5
1066,353,75
478,1461,9
1006,906,66
303,1452,13
1446,1502,66
881,1443,25
526,230,25
298,1147,53
651,106,25
650,201,53
526,482,25
857,49,5
857,374,5
298,867,53
1079,169,66
485,737,25
1273,1215,57
311,1470,9
91,744,25
518,1536,5
1295,1416,9
892,221,25
1188,599,9
1360,1552,25
1159,385,25
71,717,9
1045,1046,25
816,837,25
274,628,41
769,1394,44
78,540,47
1537,87,26
26,717,9
216,342,16
599,1222,5
579,990,25
633,1391,9
549,1128,25
813,1250,66
933,406,5
932,556,9
598,721,25
583,1321,8
933,459,5
632,922,25
1240,717,5
988,1377,9
97,888,12
681,1340,25
199,624,25
1367,802,9
697,942,25
882,1444,66
1253,286,25
1049,1177,25
691,406,5
272,360,6
1089,341,25
691,27,5
1460,737,66
754,1233,53
458,679,8
1066,832,5
312,746,25
891,148,5
239,631,25
665,1380,5
463,155,5
1009,454,63
477,755,25
763,109,77
1041,525,5
253,961,9
94,1154,5
852,27,5
459,342,5
1258,916,34
272,484,5
309,749,5
643,969,9
271,824,25
1502,752,5
1344,766,9
299,845,63
388,1262,25
617,444,25
488,889,75
286,1072,5
441,938,25
497,1455,8
968,377,8
33,1371,63
806,328,25
598,265,5
991,18,58
1525,1208,9
703,1479,66
248,341,25
379,795,25
454,89,12
713,700,53
983,1360,25
650,1202,66
1443,475,25
948,298,25
987,120,5
1394,1072,5
991,1400,12
1021,623,9
56,351,25
1233,317,25
944,1422,25
1229,1254,9
1231,798,9
515,891,20
314,1417,5
134,155,5
1400,126,25
372,691,45
76,472,34
18,1458,6
885,597,9
309,938,25
304,376,25
1183,379,25
455,802,25
1347,455,9
132,127,5
1484,468,25
453,107,45
549,1444,66
1282,1112,45
169,1352,25
473,503,25
302,763,25
528,385,25
1462,707,25
1320,105,5
304,1277,8
650,455,9
1050,654,25
822,917,9
667,71,5
92,1168,9
1131,69,5
91,1392,5
216,1106,8
369,1131,50
242,1201,41
571,950,5
72,384,25
567,755,25
850,256,64
654,898,75
216,1252,9
604,24,5
1452,534,9
416,1321,8
